,line_id,name,mode,stops
10,waterloo-city,Waterloo & City,tube,"['940GZZLUBNK', '940GZZLUWLO', '940GZZLUWLO', '940GZZLUBNK']"
11,1,1,bus,"['490011760D', '490011714E', '490015255F', '490000020L', '490006180S', '490013939S', '490012664S', '490004963CE', '490002364ZH', '490007927M', '490004713D', '490000036R', '490015531T', '490011168S1', '490000152G', '490003174S', '490000077B', '490012867M', '490013170S', '490000200J', '490005624S', '490013477A', '490000112M', '490019703Z', '490014271N', '490000254E', '490013485S1', '490012693S2', '490009281E', '490000073K', '490011632BA', '490003658BC', '490004315BH', '490007533E', '490006792E', '490012367E', '490003275E', '490003533E', '490012353E', '490003311E', '490009482S', '490007086B', '490003716E', '490005603E', '490014228E', '490000229O', '490011723P', '490004733D', '490004733C', '490011723E', '490013042J', '490000229L', '490011722Q', '490005603W', '490011719A', '490009482N', '490003311N', '490012353W', '490011538W', '490003275W', '490012367W', '490007362S', '490015272BJ', '490003658BS', '490011632BT', '490000073N', '490009281A', '490012693N1', '490013485N', '490000254K', '490014270P', '490008932T', '490003191F', '490000112N', '490013477Y', '490000200H', '490013170N', '490012867L', '490000077A', '490003174N', '490000152F', '490004714J', '490015041X', '490007876O', '490013538CF', '490000043CC', '490012664N', '490013939N', '490000020K', '490015255G', '490011760C', '490012280N']"
12,100,100,bus,"['490008743N', '49008743N1', '490010130E', '490015208A', '490003172A', '490004043P', '490000003B', '490000003R', '490005818K', '490015074Z', '490014944E', '490014016S', '490010178S', '490008089E', '490014210E', '490006246E', '490014208E', '490014209N', '490013687K', '490012457E', '490007207N', '490008734W', '490000202A', '490012020A', '490012020B', '490013687J', '490014209S', '490011250E', '490003335E', '490014211S', '490000251W', '490006246W', '490014210W', '490008089W', '490012021N', '490014016N', '490014944W', '490002076Y', '490009606S', '490006229ZY', '490004043N', '490004043Q', '490015208N', '490010130W', '490000225W', '490008743N']"
13,101,101,bus,"['490014816E', '490000250D', '490015125C', '490006778S', '490004653S', '490004087S', '490011372S', '490010812E', '490008095S', '490006566S', '490009816S', '490014205S', '490004769Z', '490001189S', '490011661S', '490005694D', '490003921S', '490011801S1', '490012058S1', '490007200F', '490000068A', '490003888N', '490011001M', '490006360R', '490010218V', '490009662S', '490006358S1', '490014040S', '490006359S', '490009348S', '490003747S', '490013691E', '490006317A', '490006317D', '490013691F', '490003747N', '490009348N', '490010045N', '490009682N', '490006358N', '490013665N', '490010218U', '490013645L', '490004881J', '490003888D', '490000068B', '490007200Y', '490012058N2', '490011801N', '490003921N', '490005694C', '490001189N', '490004769W', '490005322N', '490014205N', '490009816N', '490006566N', '490006151N', '490010812W', '490011372N', '490004087N', '490004653N', '490004706N', '490015125B', '490014816W']"
14,102,102,bus,"['490004282D', '490009624W', '490005434S', '490005435S', '490008053S', '490010915E', '490010916E', '490008059E', '490013578S', '490006263E', '490007267GM', '490015496GU', '490008343N', '490005421N', '490013192N', '490005162N', '490008070N', '490008069E', '490003723E', '490004463E', '490009866E', '490009659E', '490004093E', '490003881E', '490003529A', '490000067E', '490013880K', '490012392E', '490006947E', '490006949E', '490010135K', '490015187F', '490015186A', '490009765N', '490005509N', '490014757N', '490011684N', '490014061N', '490003158N', '490014844N', '490000028C', '490015014N', '490004490N', '490003564E', '490007476E', '490007476P', '490009800E', '490005091E', '490013893E', '490015301E', '490004712E1', '490009357E', '490010388M', '490014060Q1', '490003324B', '490010801H', '490010801Z', '490011968N', '490006445B', '490006442R', '490009983A', '490009983G', '490006445A', '490011968S', '490010801G', '490015189D', '490003324A', '490010388N', '490009357P', '490015617W', '490013440W', '490004712W2', '490013893W', '490005091W', '490009800W', '490007476V', '490007476W', '490003564W', '490004490S', '490015014S', '490000028D', '490014844S', '490003158S', '490014061S', '490011684S', '490014757W', '490005509S', '490015186B', '490015187H', '490010135L', '490004017K', '490006947W', '490013880L', '490013254J', '490000067H', '490007410B', '490003881W', '490009967W', '490004093W', '490009659W', '490014478W', '490004463W', '490003723W', '490008069W', '490003108S', '490005162S', '490013192S', '490005421S', '490008343S', '490015496GV', '490008268GO', '490006263W', '490013578W', '490008059W', '490010916W', '490010914N', '490008053N', '490005435N', '490005434N', '490009624V', '490004282A']"
15,103,103,bus,"['490001235E', '490011396C', '490006153J', '490008878N', '490005098W', '490010169W', '490007074W', '490013640W', '490015012W', '490004739W', '490009126W', '490003566N2', '490011908N', '490000058A', '490011497N', '490014063N', '490010704N', '490003410N', '490004570N', '490007042N', '490005923R', '490003660E', '490005381E', '490009090E', '490011798N2', '490005834N', '490015408E', '490011667HE', '490001243V', '490014452P', '490011659H', '490004467N1', '490010764N', '490011657N1', '490007918E', '490003445E', '490010973E', '490007989N', '490007988W', '490009715N', '490010016N', '490007262N', '490003491E', '490005032E', '490005032E', '490004726S', '490007128S', '490010016S', '490009715S', '490007988E', '490007989S', '490010973W', '490003445W', '490007918W', '490011658S', '490013240S', '490011659E', '490009810K', '490014452Q', '490001243T', '490011667HD', '490015408E1', '490005834S', '490011798S2', '490005927W', '490009090W', '490005381W', '490003660W', '490005923P', '490007042M', '490004570S', '490004929S', '490010704S', '490014063S', '490011497S', '490000058B', '490009581S', '490003566E', '490009126E', '490015012E', '490013640E', '490007074E', '490010169E', '490005098E', '490003339S', '490006153K', '490011396D', '490001235W']"
16,104,104,bus,"['490006317C', '490013691F', '490003747N', '490009348N', '490007408W', '490011902W', '490009349W', '490009346W', '490010202N', '490014724N', '490003151R', '490015134N', '490013833E', '490000245A', '490011052N', '490010909W', '490009440W', '490012582W', '490013957W', '490010796W', '490003309W', '490006045W', '490014466N', '490012903K', '490012904N', '490012904D', '490012903Z', '490014466S', '490006045E', '490003309E', '490010796E', '490010796G', '490013957E', '490012582E', '490009440E', '490011052M', '490000245B', '490011338S', '490013958F', '490004930E', '490009346HP', '490009346E', '490009349E', '490011902E', '490003747S', '490013691E', '490006317A']"
17,105,105,bus,"['4900801619', '490010245N', '490012177E', '490012176E', '490004139E', '490010251G', '490007811C', '490015397E', '490010677W2', '490013596E', '490005704E', '490013235N', '490013494N', '490005703N', '490008113N', '490007802N', '490012242E', '490012133E', '490006056E', '490013052E', '490014162E', '490008833E', '490013388L', '490010754P', '490012241N', '490014102E', '490010317C', '490004807A', '490008790Z', '490009712X', '490006132W', '490006131N', '490005613N', '490011824E', '490003435E', '490013018N', '490003518N', '490011786N', '490006369E', '490010897E1', '490007446C', '490007441F', '490005626N', '490005687N', '490008485N', '490013906N', '490000092W1', '490000092W2', '490015198B', '490004030NN', '490005659OO', '490005687DD', '490005626S', '490007441G', '490007446A', '490010897E2', '490006370W', '490011786S', '490003518S', '490003435W', '490011824W', '490005613S', '490006131S', '490006132E', '490009712W', '490008790Y', '490004807B', '490010317D', '490003276F', '490012241L', '490010754Q', '490001255O', '490013388M', '490008833F', '490013052W2', '490006056W', '490012133W', '490014393W2', '490007802S', '490008113S', '490005703S', '490005706N', '490013494S', '490013235S', '490005704W', '490013596W', '490010677W1', '490007811D', '490004149W', '490012176W', '490008016S']"
18,106,106,bus,"['490016619N', '490007978N', '490004945N', '490013648S', '490000022C', '490010555G', '490001044M', '490003314R', '490012442N', '490014373LC', '490012462N', '490007626A', '490001127J', '490001128L', '490010151R', '490007619U', '490007220Z', '490009195N', '490005340H', '490009035M', '490004451O', '490001070N', '490011519W', '490007156W', '490012837J', '490004452T', '490005312X', '490001273E', '490009208A', '490012572W', '490009365W', '490011312W', '490003100W', '490011332W', '490009986V', '490011623P', '490000083AP', '490000083H', '490006847N', '490006848W', '490011332E', '490007477E', '490011312E', '490009365E', '490012572E', '490009208B', '490001273C', '490010427D', '490020363E', '490007156E', '490011519E', '490001070S', '490004459B', '490009035E', '490009896G', '490009195S1', '490007619V', '490005341S', '490010154Y', '4900001127H', '490007626B', '490012462S', '490014373LB', '490008739S', '490007624S', '490001044P', '490010555H', '490000022A', '490013648T', '490004945S', '490005965S', '490016619N']"
19,107,107,bus,"['490000070F', '490000070B', '490011254N', '490006423N', '490007224W', '490006432S', '490004760L', '490011026N', '490011769N', '210021008015', '210021004980', '210021002780', '210021008120', '210021004210', '210021004220', '210021004230', '210021004240', '210021004245', '210021004100', '210021004120', '210021002667', '210021004140', '210021004260', '210021004280', '210021004540', '210021004550', '210021004560', '210021004570', '210021004580', '210021004585', '210021004780', '210021004785', '490012721E2', '490013368E', '490007215E', '490011744E', '490011379E1', '490007117E', '490013231E2', '490003636B4', '490013909E', '490015142F', '490003634H', '490009772N', '490000107R', '490003640S', '490015143E', '490014253E', '490001201D', '490001201S', '490001201A', '490010192W', '490014253W', '490015143W', '490013897N', '490000107Q', '490003634K', '490015142E', '490009584W', '490013909W', '490003636B3', '490013231W', '490007117W', '490011379W', '490011744W', '490007215W', '490013368W', '490012721W2', '210021002020', '210021002040', '210021004690', '210021002200', '210021002210', '210021002220', '210021002230', '210021002530', '210021002540', '210021002550', '210021002670', '210021002665', '210021002680', '210021002690', '210021004250', '210021002700', '210021002710', '210021002720', '210021002725', '210021007800', '210021008160', '210021011800', '490011769S', '490011026S', '490020077S', '490006432E', '490010829E', '490006423S', '490006422S', '490000070G']"
